薬物,健康への悪影響があるため,削除,drug
喫煙,健康への悪影響があるため,削除,smoking
溶剤,健康への悪影響があるため,削除,a solvent
アルコール,健康への悪影響があるため,削除,alcohol
違法薬物,健康への悪影響があるため,削除,an illegal drug
殴る,暴力や犯罪に関連する表現のため,削除,hit;beat;slap;club
蹴る,暴力や犯罪に関連する表現のため,削除,kick
刺す,暴力や犯罪に関連する表現のため,削除,pierce;stab;prick
射撃,暴力や犯罪に関連する表現のため,削除,shoot
爆発,暴力や犯罪に関連する表現のため,削除,explosion
暴行,暴力や犯罪に関連する表現のため,削除,violence;an outrage;an assault
強盗,暴力や犯罪に関連する表現のため,削除削除,robbery;mugging;burglary
脅威,暴力や犯罪に関連する表現のため,削除,threat
暴動,暴力や犯罪に関連する表現のため,削除,riot
拳銃,暴力や犯罪に関連する表現のため,削除,gun
ナイフ,暴力や犯罪に関連する表現のため,削除,knife
バトル,暴力や犯罪に関連する表現のため,削除,battle
犯罪,暴力や犯罪に関連する表現のため,削除,offence;crime
武器,暴力や犯罪に関連する表現のため,削除,weapon
ギャング,暴力や犯罪に関連する表現のため,削除,gangster
衝突,暴力や犯罪に関連する表現のため,削除,collision
爆破,暴力や犯罪に関連する表現のため,削除,explosion
殺人,暴力や犯罪に関連する表現のため,削除,murder
サバイバル,暴力や犯罪に関連する表現のため,削除,survival
自殺,暴力や犯罪に関連する表現のため,削除,suicide
性行為,性的コンテンツに関連するため,削除,sexual activity
セックス,性的コンテンツに関連するため,削除,sexual
裸,性的コンテンツに関連するため,削除,a naked body;anude
エロチック,性的コンテンツに関連するため,削除,erotic
セクシー,性的コンテンツに関連するため,削除,sexy
ヌード,性的コンテンツに関連するため,削除,nude
ラブシーン,性的コンテンツに関連するため,削除,love scene
肉体関係にある,性的コンテンツに関連するため,削除,intimate
悪魔払い,宗教や超自然現象に関連する表現のため,削除,exorcism
オカルトの,宗教や超自然現象に関連する表現のため,削除,occult
超自然の,宗教や超自然現象に関連する表現のため,削除,supernatural
科学的には説明できない,宗教や超自然現象に関連する表現のため,削除,paranormal
怪奇現象,宗教や超自然現象に関連する表現のため,削除,haunting
心霊の,宗教や超自然現象に関連する表現のため,削除,psychic
霊媒,宗教や超自然現象に関連する表現のため,削除,mediumship
霊性,宗教や超自然現象に関連する表現のため,削除,spirituality
心霊現象,宗教や超自然現象に関連する表現のため,削除,psychic phenomena
魔法,宗教や超自然現象に関連する表現のため,削除,witchcraft
催眠,宗教や超自然現象に関連する表現のため,削除,hypnosis
失神,差別や敵対行動を促進する表現のため,削除,trance
睡眠医療,差別や敵対行動を促進する表現のため,削除,hypnotherapy
実験体,差別や敵対行動を促進する表現のため,削除,simulated news
感光性てんかん,差別や敵対行動を促進する表現のため,削除,photosensitive epilepsy
憎悪表現,差別や敵対行動を促進する表現のため,削除,hate speech
差別,差別や敵対行動を促進する表現のため,削除,discrimination
虐待,差別や敵対行動を促進する表現のため,削除,abuse
悪用,差別や敵対行動を促進する表現のため,削除,abuse
嫌がらせ,差別や敵対行動を促進する表現のため,削除,harassment
偏見,差別や敵対行動を促進する表現のため,削除,prejudice
暴力,差別や敵対行動を促進する表現のため,削除,violence
寛容でない態度,差別や敵対行動を促進する表現のため,削除,intolerance
刑事手続き,社会的な健康への悪影響があるため,削除,pleas of the crown
タバコ,健康への悪影響があるため,削除,cigarette
ギャンブル,社会的な健康への悪影響があるため,削除,gamble
乳児用調製粉乳,社会的な健康への悪影響があるため,削除,infant formula
乳児用ミルク,社会的な健康への悪影響があるため,削除,powdered milk
医薬品,社会的な健康への悪影響があるため,削除,medicine
パイプ,健康への悪影響があるため,削除,pipe
違法薬物,健康への悪影響があるため,削除,illicit drug
アジア人,差別や敵対行動を促進する表現のため,削除,Asian
ドイツ系の人,差別や敵対行動を促進する表現のため,削除,German
メキシコ系の人,差別や敵対行動を促進する表現のため,削除,Mexican
気弱な女性,差別や敵対行動を促進する表現のため,削除,weak woman
貧弱な女性,差別や敵対行動を促進する表現のため,削除,poor woman
レズビアン,差別や敵対行動を促進する表現のため,削除,lesbian
ばか,差別や敵対行動を促進する表現のため,削除,stupid
ホモセクシャル,差別や敵対行動を促進する表現のため,削除,homosexual
おかま,差別や敵対行動を促進する表現のため,削除,shemale
黒人,差別や敵対行動を促進する表現のため,削除,a black
ホモ,差別や敵対行動を促進する表現のため,削除,homozygous
ビッチ,差別や敵対行動を促進する表現のため,削除,bitch
ローマ人,差別や敵対行動を促進する表現のため,削除,Roman
エイズ,差別や敵対行動を促進する表現のため,削除,AIDS
同性愛者,差別や敵対行動を促進する表現のため,削除,homosexual
クロスドレッシング,差別や敵対行動を促進する表現のため,削除,cross dressing
アルコール,健康への悪影響があるため,削除,alcohol
たばこ,健康への悪影響があるため,削除,cigarette
神社,宗教や超自然現象に関連する表現のため,削除,shrine
仏閣,宗教や超自然現象に関連する表現のため,削除,buddhist temple
仏像,宗教や超自然現象に関連する表現のため,削除,buddhist statue
幼児製品,社会的な健康への悪影響があるため,削除,products for infants
植物検疫製品,社会的な健康への悪影響があるため,削除,plant quarantine product